text,tactic,technique
"Monitor and analyze traffic patterns and packet inspection associated to protocol(s) that do not follow the expected protocol standards and traffic flows (e.g extraneous packets that do not belong to established flows, gratuitous or anomalous traffic patterns, anomalous syntax, or structure).",TA0043,T1595.002
Consider correlation with process monitoring and command line to detect anomalous processes execution and command line arguments associated to traffic patterns ( monitor anomalies in use of files that do not normally initiate connections for respective protocol(s)).,TA0043,T1595.002
Monitor network data for uncommon data flows.,TA0043,T1595.002
Processes utilizing the network that do not normally have network communication or have never been seen before are suspicious.,TA0043,T1595.002
Adversaries may iteratively probe infrastructure using brute-forcing and crawling techniques.,TA0043,T1595.003
"While this technique employs similar methods to Brute Force, its goal is the identification of content and infrastructure rather than the discovery of valid credentials.",TA0043,T1595.003
"Wordlists used in these scans may contain generic, commonly used names and file extensions or terms specific to a particular software.",TA0043,T1595.003
"Adversaries may also create custom, target-specific wordlists using data gathered from other Reconnaissance techniques (ex: Gather Victim Org Information, or Search Victim-Owned Websites).",TA0043,T1595.003
"For example, adversaries may use web content discovery tools such as Dirb, DirBuster, and GoBuster and generic or custom wordlists to enumerate a website’s pages and directories.",TA0043,T1595.003
"This can help them to discover old, vulnerable pages or hidden administrative portals that could become the target of further operations (ex: Exploit Public-Facing Application or Brute Force).",TA0043,T1595.003
"As cloud storage solutions typically use globally unique names, adversaries may also use target-specific wordlists and tools such as s3recon and GCPBucketBrute to enumerate public and private buckets on cloud infrastructure.",TA0043,T1595.003
"Once storage objects are discovered, adversaries may leverage Data from Cloud Storage Object to access valuable information that can be exfiltrated or used to escalate privileges and move laterally.",TA0043,T1595.003
Volatile Cedar has used DirBuster and GoBuster to brute force web directories and DNS subdomains.,TA0043,T1595.003
"Remove or disable access to any systems, resources, and infrastructure that are not explicitly required to be available externally.",TA0043,T1595.003
This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,TA0043,T1595.003
Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,TA0043,T1595.003
"Monitor for suspicious network traffic that could be indicative of scanning, such as large quantities originating from a single source (especially if the source is known to be associated with an adversary/botnet).",TA0043,T1595.003
Adversaries may gather information about the victim's hosts that can be used during targeting.,TA0043,T1592
"Information about hosts may include a variety of details, including administrative data (ex: name, assigned IP, functionality, ) as well as specifics regarding its configuration (ex: operating system, language, ).",TA0043,T1592
"Adversaries may gather this information in various ways, such as direct collection actions via Active Scanning or Phishing for Information.",TA0043,T1592
Adversaries may also compromise sites then include malicious content designed to collect host information from visitors.,TA0043,T1592
Information about hosts may also be exposed to adversaries via online or other accessible data sets (ex: Social Media or Search Victim-Owned Websites).,TA0043,T1592
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Search Open Websites/Domains or Search Open Technical Databases), establishing operational resources (ex: Develop Capabilities or Obtain Capabilities), and/or initial access (ex: Supply Chain Compromise or External Remote Services).",TA0043,T1592
"Internet scanners may be used to look for patterns associated with malicious content designed to collect host information from visitors.Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1592
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1592
Adversaries may gather information about the victim's host hardware that can be used during targeting.,TA0043,T1592.001
"Information about hardware infrastructure may include a variety of details such as types and versions on specific hosts, as well as the presence of additional components that might be indicative of added defensive protections (ex: card/biometric readers, dedicated encryption hardware, ).",TA0043,T1592.001
"Adversaries may gather this information in various ways, such as direct collection actions via Active Scanning (ex: hostnames, server banners, user agent strings) or Phishing for Information.",TA0043,T1592.001
Adversaries may also compromise sites then include malicious content designed to collect host information from visitors.,TA0043,T1592.001
"Information about the hardware infrastructure may also be exposed to adversaries via online or other accessible data sets (ex: job postings, network maps, assessment reports, resumes, or purchase invoices).",TA0043,T1592.001
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Search Open Websites/Domains or Search Open Technical Databases), establishing operational resources (ex: Develop Capabilities or Obtain Capabilities), and/or initial access (ex: Compromise Hardware Supply Chain or Hardware Additions).",TA0043,T1592.001
"Internet scanners may be used to look for patterns associated with malicious content designed to collect host hardware information from visitors.Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1592.001
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1592.001
Adversaries may gather information about the victim's host software that can be used during targeting.,TA0043,T1592.002
"Information about installed software may include a variety of details such as types and versions on specific hosts, as well as the presence of additional components that might be indicative of added defensive protections (ex: antivirus, SIEMs, ).",TA0043,T1592.002
"Adversaries may gather this information in various ways, such as direct collection actions via Active Scanning (ex: listening ports, server banners, user agent strings) or Phishing for Information.",TA0043,T1592.002
Adversaries may also compromise sites then include malicious content designed to collect host information from visitors.,TA0043,T1592.002
"Information about the installed software may also be exposed to adversaries via online or other accessible data sets (ex: job postings, network maps, assessment reports, resumes, or purchase invoices).",TA0043,T1592.002
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Search Open Websites/Domains or Search Open Technical Databases), establishing operational resources (ex: Develop Capabilities or Obtain Capabilities), and/or for initial access (ex: Supply Chain Compromise or External Remote Services).",TA0043,T1592.002
"Andariel has inserted a malicious script within compromised websites to collect potential victim information such as browser type, system language, Flash Player version, and other data.",TA0043,T1592.002
"Sandworm Team has researched software code to enable supply-chain operations, most notably for the 2017 NotPetya attack.",TA0043,T1592.002
Sandworm Team also collected a list of computers using specific software as part of its targeting efforts.,TA0043,T1592.002
This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,TA0043,T1592.002
Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,TA0043,T1592.002
"Internet scanners may be used to look for patterns associated with malicious content designed to collect host software information from visitors.Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1592.002
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1592.002
Adversaries may gather information about the victim's host firmware that can be used during targeting.,TA0043,T1592.003
"Information about host firmware may include a variety of details such as type and versions on specific hosts, which may be used to infer more information about hosts in the environment (ex: configuration, purpose, age/patch level, ).",TA0043,T1592.003
"Adversaries may gather this information in various ways, such as direct elicitation via Phishing for Information.",TA0043,T1592.003
"Information about host firmware may only be exposed to adversaries via online or other accessible data sets (ex: job postings, network maps, assessment reports, resumes, or purchase invoices).",TA0043,T1592.003
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Search Open Websites/Domains or Search Open Technical Databases), establishing operational resources (ex: Develop Capabilities or Obtain Capabilities), and/or initial access (ex: Supply Chain Compromise or Exploit Public-Facing Application).",TA0043,T1592.003
"Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1592.003
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1592.003
Adversaries may gather information about the victim's client configurations that can be used during targeting.,TA0043,T1592.004
"Information about client configurations may include a variety of details and settings, including operating system/version, virtualization, architecture (ex: 32 or 64 bit), language, and/or time zone.",TA0043,T1592.004
"Adversaries may gather this information in various ways, such as direct collection actions via Active Scanning (ex: listening ports, server banners, user agent strings) or Phishing for Information.",TA0043,T1592.004
Adversaries may also compromise sites then include malicious content designed to collect host information from visitors.,TA0043,T1592.004
"Information about the client configurations may also be exposed to adversaries via online or other accessible data sets (ex: job postings, network maps, assessment reports, resumes, or purchase invoices).",TA0043,T1592.004
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Search Open Websites/Domains or Search Open Technical Databases), establishing operational resources (ex: Develop Capabilities or Obtain Capabilities), and/or initial access (ex: Supply Chain Compromise or External Remote Services).",TA0043,T1592.004
HAFNIUM has interacted with Office 365 tenants to gather details regarding target's environments.,TA0043,T1592.004
This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,TA0043,T1592.004
Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,TA0043,T1592.004
"Internet scanners may be used to look for patterns associated with malicious content designed to collect client configuration information from visitors.Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1592.004
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1592.004
Adversaries may gather information about the victim's identity that can be used during targeting.,TA0043,T1589
"Information about identities may include a variety of details, including personal data (ex: employee names, email addresses, ) as well as sensitive details such as credentials.",TA0043,T1589
"Adversaries may gather this information in various ways, such as direct elicitation via Phishing for Information.",TA0043,T1589
Information about users could also be enumerated via other active means ( Active Scanning) such as probing and analyzing responses from authentication services that may reveal valid usernames in a system.,TA0043,T1589
Information about victims may also be exposed to adversaries via online or other accessible data sets (ex: Social Media or Search Victim-Owned Websites).,TA0043,T1589
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Search Open Websites/Domains or Phishing for Information), establishing operational resources (ex: Compromise Accounts), and/or initial access (ex: Phishing or Valid Accounts).",TA0043,T1589
APT32 has conducted targeted surveillance against activists and bloggers.,TA0043,T1589
"Magic Hound has acquired mobile phone numbers of potential targets, possibly for mobile malware or additional phishing operations.",TA0043,T1589
This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,TA0043,T1589
Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,TA0043,T1589
"Monitor for suspicious network traffic that could be indicative of probing for user information, such as large/iterative quantities of authentication requests originating from a single source (especially if the source is known to be associated with an adversary/botnet).",TA0043,T1589
"Analyzing web metadata may also reveal artifacts that can be attributed to potentially malicious activity, such as referer or user-agent string HTTP/S fields.",TA0043,T1589
Adversaries may gather credentials that can be used during targeting.,TA0043,T1589.001
Account credentials gathered by adversaries may be those directly associated with the target victim organization or attempt to take advantage of the tendency for users to use the same passwords across personal and business accounts.,TA0043,T1589.001
"Adversaries may gather credentials from potential victims in various ways, such as direct elicitation via Phishing for Information.",TA0043,T1589.001
Adversaries may also compromise sites then include malicious content designed to collect website authentication cookies from visitors.,TA0043,T1589.001
"Credential information may also be exposed to adversaries via leaks to online or other accessible data sets (ex: Search Engines, breach dumps, code repositories, ).",TA0043,T1589.001
Adversaries may also purchase credentials from dark web or other black-markets.,TA0043,T1589.001
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Search Open Websites/Domains or Phishing for Information), establishing operational resources (ex: Compromise Accounts), and/or initial access (ex: External Remote Services or Valid Accounts).",TA0043,T1589.001
APT28 has harvested user's login credentials.,TA0043,T1589.001
APT29 has conducted credential theft operations to obtain credentials to be used for access to victim environments.,TA0043,T1589.001
Chimera has collected credentials for the target organization from previous breaches for use in brute force attacks.,TA0043,T1589.001
Leviathan has collected compromised credentials to use for targeting efforts.,TA0043,T1589.001
Magic Hound gathered credentials from two victims that they then attempted to validate across 75 different websites.,TA0043,T1589.001
This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,TA0043,T1589.001
Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,TA0043,T1589.001
"Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1589.001
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1589.001
Adversaries may gather email addresses that can be used during targeting.,TA0043,T1589.002
"Even if internal instances exist, organizations may have public-facing email infrastructure and addresses for employees.",TA0043,T1589.002
"Adversaries may easily gather email addresses, since they may be readily available and exposed via online or other accessible data sets (ex: Social Media or Search Victim-Owned Websites).",TA0043,T1589.002
"Email addresses could also be enumerated via more active means ( Active Scanning), such as probing and analyzing responses from authentication services that may reveal valid usernames in a system.",TA0043,T1589.002
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Search Open Websites/Domains or Phishing for Information), establishing operational resources (ex: Email Accounts), and/or initial access (ex: Phishing or Brute Force via External Remote Services).",TA0043,T1589.002
AADInternals can check for the existence of user email addresses using public Microsoft APIs.,TA0043,T1589.002
APT32 has collected e-mail addresses for activists and bloggers in order to target them with spyware.,TA0043,T1589.002
HAFNIUM has collected e-mail addresses for users they intended to target.,TA0043,T1589.002
Kimsuky has collected valid email addresses that were subsequently used in spearphishing campaigns.,TA0043,T1589.002
Lazarus Group collected email addresses belonging to various departments of a targeted organization which were used in follow-on phishing campaigns.,TA0043,T1589.002
Magic Hound has acquired the personal email addresses of some individuals they intend to target.,TA0043,T1589.002
MuddyWater has specifically targeted government agency employees with spearphishing e-mails.,TA0043,T1589.002
Sandworm Team has obtained valid emails addresses while conducting research against target organizations that were subsequently used in spearphishing campaigns.,TA0043,T1589.002
Silent Librarian has collected e-mail addresses from targeted organizations from open Internet searches.,TA0043,T1589.002
TA551 has used spoofed company emails that were acquired from email clients on previously infected hosts to target other individuals.,TA0043,T1589.002
This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,TA0043,T1589.002
Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,TA0043,T1589.002
"Monitor for suspicious network traffic that could be indicative of probing for email addresses and/or usernames, such as large/iterative quantities of authentication requests originating from a single source (especially if the source is known to be associated with an adversary/botnet).",TA0043,T1589.002
"Analyzing web metadata may also reveal artifacts that can be attributed to potentially malicious activity, such as referer or user-agent string HTTP/S fields.",TA0043,T1589.002
Adversaries may gather employee names that can be used during targeting.,TA0043,T1589.003
Employee names be used to derive email addresses as well as to help guide other reconnaissance efforts and/or craft more-believable lures.,TA0043,T1589.003
"Adversaries may easily gather employee names, since they may be readily available and exposed via online or other accessible data sets (ex: Social Media or Search Victim-Owned Websites).",TA0043,T1589.003
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Search Open Websites/Domains or Phishing for Information), establishing operational resources (ex: Compromise Accounts), and/or initial access (ex: Phishing or Valid Accounts).",TA0043,T1589.003
Kimsuky has collected victim employee name information.,TA0043,T1589.003
Sandworm Team's research of potential victim organizations included the identification and collection of employee information.,TA0043,T1589.003
Silent Librarian has collected lists of names for individuals from targeted organizations.,TA0043,T1589.003
This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,TA0043,T1589.003
Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,TA0043,T1589.003
"Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1589.003
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1589.003
Adversaries may gather information about the victim's networks that can be used during targeting.,TA0043,T1590
"Information about networks may include a variety of details, including administrative data (ex: IP ranges, domain names, ) as well as specifics regarding its topology and operations.",TA0043,T1590
"Adversaries may gather this information in various ways, such as direct collection actions via Active Scanning or Phishing for Information.",TA0043,T1590
Information about networks may also be exposed to adversaries via online or other accessible data sets (ex: Search Open Technical Databases).,TA0043,T1590
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Active Scanning or Search Open Websites/Domains), establishing operational resources (ex: Acquire Infrastructure or Compromise Infrastructure), and/or initial access (ex: Trusted Relationship).",TA0043,T1590
HAFNIUM gathered the fully qualified domain names (FQDNs) for targeted Exchange servers in the victim's environment.,TA0043,T1590
This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,TA0043,T1590
Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,TA0043,T1590
"Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1590
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1590
Adversaries may gather information about the victim's network domain(s) that can be used during targeting.,TA0043,T1590.001
"Information about domains and their properties may include a variety of details, including what domain(s) the victim owns as well as administrative data (ex: name, registrar, ) and more directly actionable information such as contacts (email addresses and phone numbers), business addresses, and name servers.",TA0043,T1590.001
"Adversaries may gather this information in various ways, such as direct collection actions via Active Scanning or Phishing for Information.",TA0043,T1590.001
Information about victim domains and their properties may also be exposed to adversaries via online or other accessible data sets (ex: WHOIS).,TA0043,T1590.001
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Search Open Technical Databases, Search Open Websites/Domains, or Phishing for Information), establishing operational resources (ex: Acquire Infrastructure or Compromise Infrastructure), and/or initial access (ex: Phishing).",TA0043,T1590.001
AADInternals can gather information about a tenant’s domains using public Microsoft APIs.,TA0043,T1590.001
Sandworm Team conducted technical reconnaissance of the Parliament of Georgia's official internet domain prior to its 2019 attack.,TA0043,T1590.001
This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,TA0043,T1590.001
Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,TA0043,T1590.001
"Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1590.001
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1590.001
Adversaries may gather information about the victim's DNS that can be used during targeting.,TA0043,T1590.002
"DNS information may include a variety of details, including registered name servers as well as records that outline addressing for a target’s subdomains, mail servers, and other hosts.",TA0043,T1590.002
"Adversaries may gather this information in various ways, such as querying or otherwise collecting details via DNS/Passive DNS.",TA0043,T1590.002
DNS information may also be exposed to adversaries via online or other accessible data sets (ex: Search Open Technical Databases).,TA0043,T1590.002
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Search Open Technical Databases, Search Open Websites/Domains, or Active Scanning), establishing operational resources (ex: Acquire Infrastructure or Compromise Infrastructure), and/or initial access (ex: External Remote Services).",TA0043,T1590.002
"Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1590.002
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1590.002
Adversaries may gather information about the victim's network trust dependencies that can be used during targeting.,TA0043,T1590.003
"Information about network trusts may include a variety of details, including second or third-party organizations/domains (ex: managed service providers, contractors, ) that have connected (and potentially elevated) network access.",TA0043,T1590.003
"Adversaries may gather this information in various ways, such as direct elicitation via Phishing for Information.",TA0043,T1590.003
Information about network trusts may also be exposed to adversaries via online or other accessible data sets (ex: Search Open Technical Databases).,TA0043,T1590.003
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Active Scanning or Search Open Websites/Domains), establishing operational resources (ex: Acquire Infrastructure or Compromise Infrastructure), and/or initial access (ex: Trusted Relationship).",TA0043,T1590.003
"Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1590.003
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1590.003
Adversaries may gather information about the victim's network topology that can be used during targeting.,TA0043,T1590.004
"Information about network topologies may include a variety of details, including the physical and/or logical arrangement of both external-facing and internal network environments.",TA0043,T1590.004
"This information may also include specifics regarding network devices (gateways, routers, ) and other infrastructure.",TA0043,T1590.004
"Adversaries may gather this information in various ways, such as direct collection actions via Active Scanning or Phishing for Information.",TA0043,T1590.004
Information about network topologies may also be exposed to adversaries via online or other accessible data sets (ex: Search Victim-Owned Websites).,TA0043,T1590.004
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Search Open Technical Databases or Search Open Websites/Domains), establishing operational resources (ex: Acquire Infrastructure or Compromise Infrastructure), and/or initial access (ex: External Remote Services).",TA0043,T1590.004
"Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1590.004
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1590.004
Adversaries may gather the victim's IP addresses that can be used during targeting.,TA0043,T1590.005
"Public IP addresses may be allocated to organizations by block, or a range of sequential addresses.",TA0043,T1590.005
"Information about assigned IP addresses may include a variety of details, such as which IP addresses are in use.",TA0043,T1590.005
"IP addresses may also enable an adversary to derive other details about a victim, such as organizational size, physical location(s), Internet service provider, and or where/how their publicly-facing infrastructure is hosted.",TA0043,T1590.005
"Adversaries may gather this information in various ways, such as direct collection actions via Active Scanning or Phishing for Information.",TA0043,T1590.005
Information about assigned IP addresses may also be exposed to adversaries via online or other accessible data sets (ex: Search Open Technical Databases).,TA0043,T1590.005
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Active Scanning or Search Open Websites/Domains), establishing operational resources (ex: Acquire Infrastructure or Compromise Infrastructure), and/or initial access (ex: External Remote Services).",TA0043,T1590.005
Andariel has limited its watering hole attacks to specific IP address ranges.,TA0043,T1590.005
HAFNIUM has obtained IP addresses for publicly-accessible Exchange servers.,TA0043,T1590.005
This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,TA0043,T1590.005
Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,TA0043,T1590.005
"Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1590.005
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1590.005
Adversaries may gather information about the victim's network security appliances that can be used during targeting.,TA0043,T1590.006
"Information about network security appliances may include a variety of details, such as the existence and specifics of deployed firewalls, content filters, and proxies/bastion hosts.",TA0043,T1590.006
Adversaries may also target information about victim network-based intrusion detection systems (NIDS) or other appliances related to defensive cybersecurity operations.,TA0043,T1590.006
"Adversaries may gather this information in various ways, such as direct collection actions via Active Scanning or Phishing for Information.",TA0043,T1590.006
Information about network security appliances may also be exposed to adversaries via online or other accessible data sets (ex: Search Victim-Owned Websites).,TA0043,T1590.006
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Search Open Technical Databases or Search Open Websites/Domains), establishing operational resources (ex: Develop Capabilities or Obtain Capabilities), and/or initial access (ex: External Remote Services).",TA0043,T1590.006
"Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1590.006
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1590.006
Adversaries may gather information about the victim's organization that can be used during targeting.,TA0043,T1591
"Information about an organization may include a variety of details, including the names of divisions/departments, specifics of business operations, as well as the roles and responsibilities of key employees.",TA0043,T1591
"Adversaries may gather this information in various ways, such as direct elicitation via Phishing for Information.",TA0043,T1591
Information about an organization may also be exposed to adversaries via online or other accessible data sets (ex: Social Media or Search Victim-Owned Websites).,TA0043,T1591
"Gathering this information may reveal opportunities for other forms of reconnaissance (ex: Phishing for Information or Search Open Websites/Domains), establishing operational resources (ex: Establish Accounts or Compromise Accounts), and/or initial access (ex: Phishing or Trusted Relationship).",TA0043,T1591
"Kimsuky has collected victim organization information including but not limited to organization hierarchy, functions, press releases, and others.",TA0043,T1591
Lazarus Group has studied publicly available information about a targeted organization to tailor spearphishing efforts against specific departments and/or individuals.,TA0043,T1591
This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.,TA0043,T1591
Efforts should focus on minimizing the amount and sensitivity of data available to external parties.,TA0043,T1591
"Much of this activity may have a very high occurrence and associated false positive rate, as well as potentially taking place outside the visibility of the target organization, making detection difficult for defenders.",TA0043,T1591
"Detection efforts may be focused on related stages of the adversary lifecycle, such as during Initial Access.",TA0043,T1591
Adversaries may gather the victim's physical location(s) that can be used during targeting.,TA0043,T1591.001
"Information about physical locations of a target organization may include a variety of details, including where key resources and infrastructure are housed.",TA0043,T1591.001
Physical locations may also indicate what legal jurisdiction and/or authorities the victim operates within.,TA0043,T1591.001
"Adversaries may gather this information in various ways, such as direct elicitation via Phishing for Information.",TA0043,T1591.001
Physical locations of a target organization may also be exposed to adversaries via online or other accessible data sets (ex: Search Victim-Owned Websites or Social Media).,TA0043,T1591.001
